c_ClaveUnidad	Nombre
H36	MegaOhm por kilómetro
H37	MegaOhm por metro
H38	Megaamperio
H39	Megahertz kilómetro
H40	Newton por amperio
H41	Newton metro watts elevado a la potencia menos 0.5
H42	Pascal por metro
H43	Siemens por centímetro
H44	TeraOhm
H45	Voltio segundo por metro
H46	Voltio por segundo
H47	Watt por metro cúbico
H48	Attofarad
H49	Centímetro por hora
H50	Reciprocidad del centimetro cúbico
H51	Decibel per kilometro
H52	Decibel per metro
H53	Kilogramo por bar
H54	Kilogramo por decímetro cúbico kelvin 
H55	Kilogramo por decímetro cúbico bar
H56	Kilogramo por metro cuadrado segundo
H57	Pulgada por dos pi por radián
H58	Metro por voltio segundo
H59	Metro cuadrado por newton
H60	Metro cúbico por metro cúbico
H61	Milisiemens por centímetro
H62	Milivoltio por minuto
H63	Miligramo por centímetro cuadrado
H64	Miligramo por gramo
H65	Mililitro por metro cúbico
H66	Milímetro por año 
H67	Milímetro por hora
H68	MiliMol por gram
H69	Picopascal por kilometro
H70	Picosegundo
H71	Por ciento al mes
H72	Por ciento por hectobar
H73	Por ciento por decakelvin
H74	Watt por metro
H75	Decapascal
H76	Gramo por milímetro
H77	Anchura del módulo
H78	Centímetro convencional de agua
H79	Escala francesa 
H80	Unidad de bastidor
H81	Milímetro por minuto
H82	Punto grande
H83	Litro por kilogramo
H84	Gramos milímetro
H85	Semana recíproca
H87	Pieza
H88	MegaOhm kilómetro
H89	Por ciento por Ohmio
H90	Porcentaje por grado
H91	Por ciento por cada diez mil
H92	Ciento por cien mil
H93	Porcentaje por cien
H94	Por ciento por mil
H95	Por ciento por voltio
H96	Tanto por ciento por bar
H98	Por ciento por pulgada
H99	Por ciento por metro
HA	Madeja
HAR	hectárea
HBA	Hectobar 
HBX	Ciento de cajas
HC	Conteo en cientos
HD	Media docena
HDW	"Cien kilogramos, peso seco"
HE	Centésima de un quilate
HEA	Cabeza
HF	Cien pies
HGM	Héctogramo
HH	Cien pies cúbicos
HI	Cien hojas
HIU	Unidad internacional de cien
HJ	Potencia métrica
HK	Cien kilogramos
HKM	"Cien kilogramos, masa neta"
HL	Cien pies (lineal)
HLT	Hectolitro
HM	Milla por hora (milla estatal)
HMQ	Millones de metros cúbicos
HMT	Hectómetro
HN	Milímetro convencional de mercurio
HO	Cien onzas troy
HP	Milímetro convencional de agua
HPA	Hectolitro de alcohol puro
HS	Cien pies cuadrados
HT	media hora
HTZ	Hertz
HUR	Hora
HY	Cien yardas
IA	Pulgada libra
IC	Contar por pulgada
IE	Personas
IF	Pulgadas de agua
II	Columna pulgada
IM	Impresión
INH	Pulgada
INK	Pulgada cuadrada
INQ	Pulgada cúbica
IP	póliza de seguros
ISD	Grado internacional de azúcar
IT	Recuento por centímetro
IU	Pulgada por segundo
IV	Pulgada por segundo al cuadrado
J10	Por ciento por milímetro
J12	Por mille por psi
J13	Grado api
J14	Grado baume (escala de origen)
J15	Grado baume (us pesado)
J16	Grado baume (luz de los EUA)
J17	Grado balling
J18	Grado brix
J19	Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico).
J2	Joule por kilogramo
J20	Grado fahrenheit por kelvin
J21	Grado fahrenheit por bar
J22	Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional).
J23	Grado fahrenheit por hora
J24	Grado fahrenheit por minuto
J25	Grado fahrenheit por segundo
J26	Reciprocidad grado fahrenheit
J27	Grado oechsle
J28	Grado rankine por hora
J29	Grado rankine por minuto
J30	Grado rankine por segundo
J31	Grado twaddel.
J32	Micropoise
J33	Microgramo por kilogramo
J34	Microgramo por metro cúbico kelvin
J35	Microgramo por metro cúbico bar
J36	Microlitro por litro
J38	Baud
J39	Unidad térmica británica (significado)
J40	Unidad térmica británica (tabla internacional) pie por hora pie cuadrado grado fahrenheit.
J41	Unidad térmica británica (tabla internacional) pulgada por hora pie cuadrado grado fahrenheit.
J42	Unidad térmica británica (tabla internacional) pulgada por segundo pie cuadrado grado fahrenheit.
J43	Unidad térmica británica (tabla internacional) por libra grado fahrenheit
J44	Unidad térmica británica (tabla internacional) por minuto
J45	Unidad térmica británica (tabla internacional) por segundo
J46	Unidad térmica británica (termoquímico) pie por hora pie cuadrado grado fahrenheit.
J47	Unidad térmica británica (termoquímica) por hora
J48	Unidad térmica británica (termoquímico) pulgada por hora pie cuadrado grado fahrenheit.
J49	Unidad térmica británica (termoquímico) pulgada por segundo pie cuadrado grado fahrenheit.
J50	Unidad térmica británica (termoquímico) por libra grado fahrenheit
J51	Unidad térmica británica (termoquímica) por minuto
J52	Unidad térmica británica (termoquímica) por segundo
J53	Culombio metro cuadrado por kilogramo
J54	Megabaud
J55	Watt segundo
J56	Bar por bar
J57	Barril (uk petróleo)
J58	Barril (petróleo UK) por minuto
J59	Barril (petróleo UK) por día
J60	Barril (petróleo UK) por hora
J61	Barril (petróleo UK) por segundo
J62	Barril (petróleo estados unidos) por hora
J63	Barril (petróleo estados unidos) por segundo
J64	Bushel (UK) por día 
J65	Bushel (UK) por hora
J66	Bushel (UK) por minuto
J67	Bushel (UK) por segundo
J68	"Bushel (seco,estados unidos) por día"
J69	"Bushel (seco,estados unidos) por hora"
J70	"Bushel (seco,estados unidos) por minuto"
J71	"Bushel (seco,estados unidos) por segundo"
J72	Centinewton metro
J73	Centipoise por kelvin
J74	Centipoise por bar
J75	Caloría
J76	Caloría (tabla internacional) por gramo gadro celsius
J78	Caloría (termoquímica) por centímetro segundo grado celsius
J79	Caloría (termoquímico) por gramo gadro celsius
J81	Caloría (termoquímica) por minuto
J82	Caloría (termoquímica) por segundo
J83	Clo
J84	Centímetro por segundo kelvin
J85	Centímetro por segundo bar
J87	Centímetro cúbico por metro cúbico
J89	Centímetro de mercurio
J90	Decímetro cúbico por día
J91	Decímetro cúbico por metro cúbico
J92	Decímetro cúbico por minuto
J93	Decímetro cúbico por segundo
J94	Dina centímetro
J95	"Onza (fluido, UK) por día"
J96	"Onza (fluido, UK) por hora"
J97	"Onza (fluido, UK) por minuto"
J98	"Onza (fluido, UK) por segundo"
J99	"Onza (fluido, estados unidos) por día"
JB	Jumbo
JE	Joule por kelvin
JK	Megajoule por kilogramo
JM	Megajoule por metro cúbico
JNT	Junta de tubería
Jo	Articulación
JOU	Joule
JPS	Cien metros
JWL	Número de joyas
K1	Demanda de kilowatt
K10	"Onza (fluido, estados unidos) por hora"
K11	"Onza (fluido, estados unidos) por minuto"
K12	"Onza (fluido, estados unidos) por segundo"
K13	Pie por grado fahrenheit
K14	Pie por hora
K15	Pie libra-fuerza por hora
K16	Pie libra-fuerza por minuto
K17	Pie por psi (libra por pulgada cuadrada)
K18	Pie por segundo grado fahrenheit
K19	Pie por segundo psi (libra por pulgada cuadrada)
K2	Kilovoltios amperios demanda reactiva
K20	Reciprocidad del pie cuadrado
K21	Pie cúbico por grado fahrenheit
K22	Pie cúbico por día
K23	Pie cúbico por psi (libra por pulgada cuadrada)
K24	Pie de agua
K25	Pie de mercurio
K26	Galón (UK) por día
K27	Galón (UK) por hora
K28	Galón (UK) por segundo
K3	Kilovoltio amperio hora reactivo
K30	"Galón (líquido, EUA) por segundo"
K31	Gramo-fuerza por centímetro cuadrado
K32	Gill (UK) por día
K33	Gill (UK) por hora
K34	Gill (UK) por minuto
K35	Gill (UK) por segundo
K36	Gill (estados unidos) por día
K37	Gill (estados unidos) por hora
K38	Gill (estados unidos) por minuto
K39	Gill (estados unidos) por segundo
K40	Aceleración estándar de la caída libre
K41	Grano por galón (EUA)
K42	Caballo de fuerza de caldera 
K43	Caballo de fuerza (eléctrico)
K45	Pulgada por grado fahrenheit
K46	Pulgada por psi (libra por pulgada cuadrada)
K47	Pulgada por segundo grado fahrenheit
K48	Pulgada por segundo psi (libra por pulgada cuadrada)
K49	Reciprocidad de la pulgada cuadrada
K5	Kilovoltios amperios (reactivos)
K50	Kilobaud
K51	Kilocaloría (significado)
K52	Kilocaloría (tabla internacional) por hora metro grado celsius
K53	Kilocaloría (termoquímico)
K54	Kilocaloría (termoquímica) por minuto
K55	Kilocaloría (termoquímica) por segundo
K58	KiloMol por hora
K59	KiloMol por metro cúbico kelvin
K6	Kilolitro
K60	KiloMol por metro cúbico bar
K61	KiloMol por minuto
K62	Litro por litro
K63	Reciprocidad del litro
K64	Libra (avoirdupois) por grado fahrenheit
K65	Libra (avoirdupois) pie cuadrado
K66	Libra (avoirdupois) por día
K67	Libra por pie hora
K68	Libra por pie segundo
K69	Libra (avoirdupois) por pie cúbico grado fahrenheit
K70	Libra (avoirdupois) por pie cúbico psi
K71	Libra (avoirdupois) por galón (UK)
K73	Libra (avoirdupois) por hora grados fahrenheit
K74	Libra (avoirdupois) por hora libra-fuerza por pulgada cuadrada
K75	Libra (avoirdupois) por pulgada cúbica grado fahrenheit
K76	Libra (avoirdupois) por pulgada cúbica psi
K77	Libra (avoirdupois) por psi
K78	Libra (avoirdupois) por minuto
K79	Libra (avoirdupois) por minuto grados fahrenheit
K80	Libra (avoirdupois) por minuto libra-fuerza por pulgada cuadrada
K81	Libra (avoirdupois) por segundo
K82	Libra (avoirdupois)por segundo grados fahrenheit
K83	Libra (avoirdupois) por segundo libra-fuerza por pulgada cuadrada
K84	Libra por yarda cúbica 
K85	Libra-fuerza por pie cuadrado
K86	Libra-fuerza por pulgada cuadrada grados fahrenheit
K87	Libra-fuerza por pulgada cuadrada pulgada cúbica por segundo
K88	Libra-fuerza por pulgada cuadrada litro por segundo
K89	Libra-fuerza por pulgada cuadrada metro cúbico por segundo
K90	Libra-fuerza por pulgada cuadrada yarda cúbica por segundo
K91	Libra-fuerza segundo por pie cuadrado
K92	Libra-fuerza segundo por pulgada cuadrada
K93	Reciprocidad psi
K94	"Cuarto (líquido, UK) por día"
K95	"Cuarto (líquido, UK) por hora"
K96	"Cuarto (líquido, UK) por minuto"
K97	"Cuarto (líquido, UK) por segundo"
K98	"Cuarto (líquido, estados unidos) por día"
K99	"Cuarto (líquido, estados unidos) por hora"
KA	Pastel
KAT	Katal
KB	Kilocaracter
KBA	Kilobar
KCC	Kilogramo de cloruro de colina
KD	Kilogram decimal
KDW	Kilogramo de peso neto drenado
KEL	Kelvin
KF	Kilopacket
KGM	Kilogramo
KGS	Kilogramo por segundo
KHY	Kilogramo de peróxido de hidrógeno
KHZ	Kilohertz
KI	Kilogramo por milímetro de ancho
KIC	"Kilogramo, incluyendo el contenedor"
KIP	"Kilogramo, incluyendo el empaquetado interno"
KJ	Kilosegmento
KJO	Kilojoule
KL	Kilogramo por metro
KLK	Porcentaje de material seco láctico
KLX	Kilolux
KMA	Kilogramo de metilamina
KMH	Kilómetro por hora
KMK	Kilómetro cuadrado
KMQ	Kilogramo por metro cúbico
KMT	Kilómetro
KNI	Kilogramo de nitrógeno
KNM	Kolonewton por metro cuadrado
KNS	Kilogram sustancia nombrada
KNT	Nudo
KO	Miliequivalentes de potasa cáustica por gramo de producto
KPA	Kilopascal
KPH	Kilogramo de hidróxido de potasio (potasa cáustica)
KPO	Kilogramo de óxido de potasio
KPP	Kilogramo de pentóxido de fósforo (anhídrido fosfórico)
KR	Kiloroentgen
KS	Mil libras por pulgada cuadrada
KSD	Kilogramo de sustancia 90% seco
KSH	Kilogramo de hidróxido de sodio (sodio cáustica)
KT	Kit
KTN	Kilotonelada Métrica
KUR	Kilogramo de uranio
KVA	Kilovoltio - amperio
KVR	Kilovar
KVT	Kilovoltio
KW	Kilogramo por milímetro
KWH	Kilowatt hora
KWN	Kilowatt hora por metro cúbico normalizado
KWO	Kilogramo de trióxido de tungsteno
KWS	Kilowatt hora por metro cúbico estándar
KWT	Kilowatt
KX	Mililitro por kilogramo
L10	"Cuarto (líquido, estados unidos) por minuto"
L11	"Cuarto (líquido, estados unidos) por segundo"
L12	Metro por segundo kelvin
L13	Metro por segundo bar
L14	Metro cuadrado hora grado celsius por kilocaloría (tabla internacional)
L15	Milipascal segundo por kelvin
L16	Milipascal segundo por bar
L17	Miligramo por metro cúbico kelvin
L18	Miligramo por metro cúbico bar
L19	Mililitro por litro
L2	Litro por minuto
L20	Reciprocidad del milimetro cúbico
L21	Milimetro cúbico por metro cúbico
L23	Mol por hora 
L24	Mol por kilogramo kelvin
L25	Mol por kilogramo bar
L26	Mol por litreo kelvin
L27	Mol por litro bar
L28	Mol por metro cúbico kelvin
L29	Mol por metro cúbico bar
L30	Mol por minuto
L31	Milliroentgen aequivalent men
L32	Nanogramo por kilogramo
L33	Onza (avoirdupois) por día
L34	Onza (avoirdupois) por hora
L35	Onza (avoirdupois) por minuto
L36	Onza (avoirdupois) por segundo
L37	Onza (avoirdupois) por galón (UK)
L38	Onza (avoirdupois) por galón (EUA)
L39	Onza (avoirdupois) por pulgada cúbica
L40	Onza fuerza
L41	Onza (avoirdupois) fuerza pulgada
L42	Picosiemens por metro
L43	Peck (UK)
L44	Peck (UK) por día
L45	Peck (UK) por hora
L46	Peck (UK) por minuto
L47	Peck (UK) por segundo
L48	"Peck (seco, estados unidos) por día"
L49	"Peck (seco, estados unidos) por hora"
L50	"Peck (seco, estados unidos) por minuto"
L51	"Peck (seco, estados unidos) por segundo"
L52	Libra.fuerza por pulgada cuadrada por libra fuerza por pulgada cuadrada
L53	Pinta (UK) por día
L54	Pinta (UK) por hora
L55	Pinta (UK) por minuto
L56	Pinta (UK) por segundo
L57	"Pinta (líquido, estados unidos) por día"
L58	"Pinta (líquido, estados unidos) por hora"
L59	"Pinta (líquido, estados unidos) por minuto"
L60	"Pinta (líquido, estados unidos) por segundo"
L61	Pinta (US seco)
L62	Cuarto de galón (seco de los EUA)
L63	Slug por día
L64	Slug por pie segundo
L65	Slug por pie cúbico
L66	Slug por hora
L67	Slug por minuto
L68	Slug por segundo
L69	Tonelada por kelvin
L70	Tonelada por bar
L71	Tonelada por día
L72	Tonelada por día kelvin
L73	Tonelada por día bar
L74	Tonelada por hora kelvin
L75	Tonelada por hora bar
L76	Tonelada por metro cúbico kelvin
L77	Tonelada por metro cúbico bar
L78	Tonelada por minuto
L79	Tonelada por minuto kelvin
L80	Tonelada por minuto bar
L81	Tonelada por segundo
L82	Tonelada por segundo kelvin
L83	Tonelada por segundo bar
L84	Tonelada (flota UK)
L85	Tonelada larga por día
L86	Tonelada (flota estados unidos)
L87	Tonelada corta por grado fahrenheit
L88	Tonelada corta por día
L89	Tonelada corta por hora grados fahrenheit
L90	Tonelada corta por hora libra-fuerza por pulgada cuadrada
L91	Tonelada corta por psi
L92	Tonelada larga (UK) por yarda cúbica
L93	Tonelada corta (estados unidos) por yarda cúbica
L94	Tonelada fuerza
L95	Año común
L96	Año sideral
L98	Yarda por grado fahrenheit
L99	Yarda por psi (libra por pulgada cuadrada)
LA	Libra por pulgada cúbica 
LAC	Porcentaje de exceso de lactosa
LBR	Libra
LBT	Troy pound
LC	Centímetro lineal
LD	Litro por día
LE	Lite
LEF	Hoja
LF	Pie lineal
LH	Hora de trabajo
LI	Pulgada lineal
LJ	Spray grande
LK	Enlazar
LM	Metro lineal
LN	Longitud
LO	Lote [unidad de adquisición]
LP	Libra líquida
LPA	Litro de alcohol puro
LR	Capa 
LS	Suma global
LTN	Tonelada (UK) o tonelada larga (estados unidos)
LTR	Litro
LUB	"Tonelada métrica, aceite lubricante"
LUM	Lumen
LUX	Lux
LX	Yarda lineal por libra
LY	Yarda lineal
M0	cinta magnética
M1	Miligramo por litro
M10	Reciprocidad de la yarda cuadrada
M11	Yarda cúbica por grado fahrenheit
M12	Yarda cúbica por día
M13	Yarda cúbica por hora 
M14	Yarda cúbica por psi (libra por pulgada cuadrada)
M15	Yarda cúbica por minuto
M16	Yarda cúbica por segundo
M17	Kilohertz metro
M18	Gigahertz metro
M19	Beaufort
M20	Recíproco de megakelvin ó megakelvin a la potencia menos 1
M21	Kilovoltio-amperio hora recíprocidad
M22	Milímetro por centímetro cuadrado minuto
M23	Newton por centímetro
M24	Ohm kilómetro
M25	Porcentaje por grado celsius
M26	GigaOhm por metro
M27	Megahertz metro
M29	Kilogramo por kilogramo
M30	voltio-amperio segundo recíprocidad
M31	Kilogramo por kilómetro
M32	Segundos pascal por litro
M33	MiliMol por litro
M34	Newton metro por metro cuadrado
M35	Milivoltio - amperio
M36	Mes de 30 días
M37	Actual 360
M38	Kilómetro por segundo cuadrado
M39	Centímetro por segundo cuadrado
M4	Valor monetario
M40	Yarda por segundo cuadrado
M41	Milímetro por segundo cuadrado
M42	Milla (milla estatal)  por segundo cuadrado
M43	Mil (unidad de Medida Militar)
M44	Revolución
M45	Grado por segundo cuadrado
M46	Revolución por minuto
M47	Circular Mil
M48	Milla cuadrada (basado en u.s survey foot)
M49	Cadena 
M5	Microcurie
M50	Estadio
M51	Pie (Topografía UEA)
M52	Milla
M53	Metro por pascal
M55	Metro por radián
M56	Shake 
M57	Milla por minuto
M58	Milla por segundo
M59	Metro por segundo pascal
M60	Metro por hora
M61	Pulgada por año
M62	Kilómetro por segundo
M63	Pulgada por minuto
M64	Yarda por segundo
M65	Yarda por minuto
M66	Yarda por hora
M67	Acre-pie
M68	Cordón
M69	Milla cúbica (reinounido)
M7	Micro-pulgada
M70	Unidad tradicional de capacidad de carga
M71	Metro cúbico por pascal (joules)
M72	Bel
M73	Kilogramo por metro cúbico pascal
M74	Kilogramo por pascal
M75	Kilolibra fuerza
M76	Poundal
M77	Kilogramo metro por segundo cuadrado
M78	Pond
M79	Pie cuadrado por hora
M80	Stokes por pascal
M81	Centímetro cuadrado por segundo
M82	Metro cuadrado por segundo pascal
M83	Denier
M84	Libra por yarda 
M85	"Tonelada, ensayo"
M86	Libra Alemana
M87	Kilogramo por segundo pascal
M88	Tonelada por mes
M89	Tonelada por año
M9	Millones de btu por 1000 pies cúbicos
M90	Kilolibra por hora
M91	Libra por libra
M92	Libra fuerza pie
M93	Newton metro por radián
M94	Kilogramo metro
M95	Poundal pie
M96	Poundal pulgada
M97	Dina metro
M98	Kilogramo centímetro por segundo
M99	Gramo centímetro por segundo
MA	Máquina por unidad
MAH	Megavoltio amperio reactivo hora
MAL	Megalitro
MAM	Megametro
MAR	Megavar
MAW	Megawatt
MBE	Mil equivalente de ladrillo estándar
MBF	Mil pies de tabla
MBR	Milibar
MC	Microgramo
MCU	Milicurie
MD	Tonelada métrica seca al aire
MF	Miligramo por pie cuadrado por lado
MGM	Miligramo
MHZ	Megahertz
MIK	Milla cuadrada (milla estatal)
MIL	Mil
MIN	Minuto [unidad de tiempo]
MIO	Millon
MIU	Unidad internacional de millon
MK	Miligramo por pulgada cuadrada
MLD	Mil millones
MLT	Mililitro
MMK	Milímetro cuadrado
MMQ	Milímetro cúbico
MMT	Milímetro
MND	"Kilogramo, peso seco"
MON	Mes 
MPA	Megapascal
MQ	Mil metros
MQH	Metro cúbico por hora
MQS	Metro cúbico por segundo
MSK	Metro por segundo cuadrado
MTK	Metro cuadrado
MTQ	Metro cúbico
MTR	Metro
MTS	Metro por segundo
MV	Número de mults
MVA	Megavoltio - amperio
MWH	Megawatt hora
N1	Pluma calórica
N10	Libra pie por segundo
N11	Libra pulgada por segundo
N12	Pferdestaerke
N13	Centímetro de mercurio (0°)
N14	Centímetro de agua (4°)
N15	Pie de agua (39.2 °f)
N16	Pulgada de mercurio (32 °f)
N17	Pulgada de mercurio (60 °f)
N18	Pulgada de agua (39.2 °f)
N19	Pulgada de agua (60 °f)
N2	número de líneas
N20	Kip por pulgada cuadrada
N21	Poundal por pie cuadrado
N22	Onza (avoirdupois) por pulgada cuadrada
N23	Metro convencional de agua
N24	Gramo por milímetro cuadrado
N25	Libra por yarda cuadrada
N26	Poundal por pulgada cuadrada
N27	Pie a la cuarta potencia 
N28	Decímetro cúbico por kilogramo
N29	Pie cúbico por libra 
N3	Impresión de punto
N30	Pulgada cúbica por libra
N31	Kilonewton por metro
N32	Poundal por pulgada
N33	Libra-fuerza por yarda
N34	Poundal segundo por pie cuadrado
N35	Poise por pascal
N36	Newton segundo por metro cuadrado
N37	Kilogramo por metro segundo
N38	Kilogramo por metro minuto
N39	Kilogramo por metro día
N40	Kilogramo por metro hora
N41	Gramo por centímetro segundo
N42	Poundal segundo por pulgada cuadrada
N43	Libra por pie minuto
N44	Libra por pie día
N45	Metro cúbico por segundo pascal
N46	Pie poundal
N47	Pulgada poundal
N48	Watt por centímetro cuadrado
N49	Watt por pulgada cuadrada
N50	Unidad térmica británica (tabla internacional) por pie cuadrado hora.
N51	Unidad térmica británica (termoquímica) por pie cuadrado hora.
N52	Unidad térmica británica (termoquímico) por pie cuadrado minuto.
N53	Unidad térmica británica (tabla internacional) por pie cuadrado segundo.
N54	Unidad térmica británica (termoquímica) por pie cuadrado segundo.
N55	Unidad térmica británica (tabla internacional) por pulgada cuadrada segundo.
N56	Caloría (termoquímica) por centímetro cuadrado minuto
N57	Caloría (termoquímica) por centímetro cuadrado segundo
N58	Unidad térmica británica (tabla internacional) por pie cúbico
N59	Unidad térmica británica (termoquímica) por pie cúbico
N60	Unidad térmica británica (tabla internacional) por grado fahrenheit
N61	Unidad térmica británica (termoquímico) por grado fahrenheit
N62	Unidad térmica británica (tabla internacional) por grado rankine
N63	Unidad térmica británica (termoquímico) por grado rankine
N64	Unidad térmica británica (termoquímico) por libra grado rankine
N65	Kilocaloría (tabla internacional) por gramo kelvin
N66	Unidad térmica británica (39 °f)
N67	Unidad térmica británica (59 °f)
N68	Unidad térmica británica (60 °f)
N69	Caloría (20 °c)
N70	Quad
N71	Termia (energía comercial)
N72	Termia (UEA)
N73	Unidad térmica británica (termoquímica) por libra
N74	Unidad térmica británica (tabla internacional) por hora pie cuadrado grado fahrenheit.
N75	Unidad térmica británica (termoquímico) por hora pie cuadrado grado farenheit.
N76	Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado fahrenheit.
N77	Unidad térmica británica (termoquímico) por segundo pie cuadrado grado fahrenheit.
N78	Kilowatt por metro cuadrado kelvin
N79	Kelvin por pascal
N80	Watt por metro grado celsius
N81	Kilowatt por metro kelvin
N82	Kilowatt por metro grado celsius
N83	Metro por grado celsius metro
N84	Grado fahrenheit hora por unidad térmica británica (tabla internacional)
N85	Grado fahrenheit hora por unidad térmica británica (termoquímico)
N86	Grado fahrenheit segundo por unidad térmica británica (tabla internacional)
N87	Grago fahrenheit segundo por unidad térmica británica (termoquímico)
N88	Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional) pulgada
N89	Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico) pulgada.
N90	Kilofaradio
N91	Joule recíproco
N92	Picosiemens
N93	Amperio por pascal
N94	Franklin
N95	Amperio minuto
N96	Biot
N97	Gilbert
N98	Voltio por pascal
N99	Picovoltio
NA	Miligramo por kilogramo
NAR	Número de artículos
NB	barcaza
NBB	Número de bobinas
NC	Carro
NCL	Número de celulas
ND	Barril neto
NE	Litro neto
NEW	Newton
NF	Mensaje
NG	Galón neto (us)
NH	Hora del mensaje
NI	Galón imperial neto
NIL	Nil
NIU	Número de unidades internacionales
NJ	Número de pantallas
NL	Carga
NM3	Metro cúbico normalizado
NMI	Milla náutica
NMP	Número de paquetes
NN	tren
NPR	Número de parejas
NPT	Número de partes
NQ	Mho
NR	Micromho
NT	Tonelada neta
NTT	Tonelada de registro neto
NV	vehículo
NY	Libra por tonelada métrica al aire seco
NX	Parte por mil
OA	Panel
ODE	Equvalente de agotamiento del ozona
Ohm	Ohm
ON	Onza por yarda cuadrada
ONZ	Onza (avoirdupois)
OP	Dos paquetes
OPM	Oscilaciones por minuto
OT	Hora extra
OZ	Onza AV
OZA	Onza líquida (estados unidos)
OZI	Onza líquida (UK)
P0	Página electrónica
P1	Tanto por ciento
P10	Culombio por metro
P11	Kiloweber
P12	Gamma
P13	Kilotesla
P14	Joule por segundo
P15	Joule por minuto
P16	Joule por hora
P17	Joule por día
P18	Kilojoule por segundo
P19	Kilojoule por minuto
P2	Libra por pie
P20	Kilojoule por hora
P21	Kilojoule por dia
P22	NanoOhm
P23	Ohm circular-mil por pie
P24	Kilohenry
P25	Lumen por pie cuadrado
P26	Foto
P27	Vela (medida)
P28	Candela por pulgada cuadrada
P29	Footlambert
P3	Tres paquetes
P30	Lambert
P31	Stilb 
P32	Candela por pie cuadrado
P33	Kilocandela
P34	Milicandela
P35	Hefner-kerze
P36	Candela internacional
P37	Unidad térmica británica (tabla internacional) por pie cuadrado
P38	Unidad térmica británica (termoquímica) por pie cuadrado
P39	Caloría (termoquímica) por centímetro cuadrado
P4	paquete de cuatro
P40	Langley
P41	Década (logaritmica)
P42	Pascal por segundo cuadrado
P43	Bel por metro
P44	Libra Mol
P45	Libra de Mol por segundo
P46	Libra Mol por minuto
P47	KiloMol por kilogramo
P48	Libra de Mol por libra
P49	Newton metro cuadrado por amperio
P5	Paquete de cinco
P50	Metro weber
P51	Mol por kilogramo pascal 
P52	Mol por metro cúbico pascal
P53	Unit por segundo
P54	MiliGray por segundo
P55	MicroGray por segundo
P56	NanoGray por segundo
P57	Gray por minuto
P58	MiliGray por minuto
P59	Microgray por minuto
P6	paquete de seis
P60	Nanogray por minuto
P61	Gray por hora
P62	MiliGray por hora
P63	Micro gray por hora
P64	Nanogray por hora
P65	Sievert por segundo
P66	MilliSievert por segundo
P67	MicroSievert por segundo
P68	NanoSievert por segundo
P69	Rem por segundo
P7	Paquete de siete
P70	Sievert por hora
P71	MilliSievert por hora
P72	Micro Sievert por hora
P73	NanoSievert por hora
P74	Sievert por minuto
P75	MilliSievert por minuto
P76	MicroSievert por minuto
P77	NanoSievert pominut 
P78	Reciprocidad por segundo
P79	Pascal metro cuadrado por kilogramo
P8	Paquete de ocho
P80	Milipascal por metro.
P81	Kilopascal por metro.
P82	Hectopascal por metro.
P83	Admosfera estandar por metro.
P84	Admosfera tecnica por metro.
P85	Torr por metro.
P86	Psi por pulgada
P87	Metro cúbico por segundo de metro cuadrado
P88	Rhe
P89	Libra por metro cúbico de pulgada
P9	Nueve paquetes
P90	Libra-fuerza por pulgada cuadrada
P91	Permanente (0°c)
P92	Permanente (23°c)
P93	Byte por segundo
P94	Kilobyte por segundo
P95	Megabite por segundo
P96	Recíproco de la unidad si deriva voltio
P97	Reciprocidad de Radian
P98	Pascal a la suma de potencia de los números estequimetricos
P99	Mols por metro cúbico a la suma de potencia de los números estequimetricos
PAL	Pascal
PB	Par de la pulgada
PD	Almohadilla
PE	Libra equivalente
PFL	Litro de prueba 
PGL	Galón de prueba
PI	Tono
PLA	Grado de platón 
PM	Porcentaje de libra
PO	Libra por pulgada
PQ	Página por pulgada
PR	Par
PS	Libra fuerza por pulgada cuadrada
PT	Pinta (US)
PTD	Pinta seca (estados unidos)
PTI	Pint (uk)
PTL	Pinta líquida (estados unidos)
PTN	Parte
PV	Media pinta (US)
PW	Libra por pulgada de ancho
PY	Pico seco (EUA)
PZ	Peck dry (UK)
Q10	Joule por tesla
Q11	Erlang
Q12	Octeto
Q13	Octeto por segundo
Q14	Shannon
Q15	Hartley
Q16	Unidad natural de información 
Q17	Shannon por segundo
Q18	Hartley por segundo 
Q19	Unidad natural de información por segundo 
Q20	Segundo por kilogramo
Q21	Watt metro cuadrado
Q22	Segundo por metro cúbicos de radianes 
Q23	Weber a la potencia menos uno
Q24	Reciprocidad de Pulgada
Q25	Dioptría
Q26	Uno por uno
Q27	Newtons metros por metro
Q28	Kilograma por metro cuadrado pascal segundo
Q29	Microgramo por hectogramo
Q3	Comida
Q30	Ph (potencial de hidrogeno)
Q31	Kilojoule por gramo
Q32	Femtolitro
Q33	Picolitro
Q34	Nanolitro
Q35	Megawatts por minuto
Q36	Metro cuadrado por metro cúbico
Q37	Metro cúbico estándar por día
Q38	Metro cúbico estándar por hora
Q39	Metro cúbico normalizado por día
Q40	Metro cúbico normalizado por hora
Q41	Joule por metro cúbico normalizado
